Client_ID,Sexe,Age,Navigateur,OS,Pays,Geolocalisation,Campagne,Moyenne_Pages_Visitees,Haut_Revenu
6555,M,42,Chrome,Windows,United States,-78.3875 36.6676,FALSE,12.3333333333,FALSE
13226,F,18,Chrome,Windows,Belgium,4.35 50.85,FALSE,6,FALSE
24448,F,71,Chrome,Windows,Japan,139.7677 35.6427,FALSE,9.5,FALSE
31876,M,54,Chrome,MacOS X,Sweden,12.6944 56.0467,TRUE,10.3333333333,FALSE
39768,F,,Chrome,Windows,United States,-83.7834 40.1183,FALSE,11,FALSE
49054,F,60,Chrome,Windows,France,2.3 48.75,FALSE,10.3333333333,FALSE
58152,M,32,Chrome,Windows,Spain,-0.3667 39.4667,FALSE,11.5,FALSE
65124,M,70,Firefox,Linux,Brazil,-45.0419 -21.2674,TRUE,16,FALSE
73842,F,37,Chrome,MacOS X,South Africa,18.4166 -33.9166,TRUE,11,FALSE
81756,F,48,Edge,Windows,Germany,10.5622 51.8998,FALSE,15,FALSE
89787,M,42,Chrome,Windows,China,116.3883 39.9289,TRUE,9,FALSE
98281,M,31,Chrome,Windows,Egypt,31.223 30.0355,FALSE,14,FALSE
0ovdi3,M,45,Chrome,Windows,United States,-71.2353 42.3699,FALSE,10,FALSE
103360,M,58,Firefox,Windows,,,FALSE,9,FALSE
110717,F,,Chrome,Windows,,,TRUE,11,FALSE
119549,M,53,Chrome,Windows,India,77.0333 28.4667,TRUE,8.3333333333,TRUE
129170,M,22,Chrome,Windows,Poland,21.0362 52.2394,FALSE,16,FALSE
139085,M,,Chrome,Windows,United States,-97.822 37.751,FALSE,12.5,FALSE
145503,F,17,Chrome,MacOS X,Italy,11.3333 44.4833,FALSE,10,FALSE
154717,,42,IE,Windows,China,117.2808 31.8639,FALSE,12,FALSE
162971,M,46,Chrome,Windows,China,108.3167 22.8167,TRUE,9.8,FALSE
171207,M,18,IE,Windows,United States,-97.822 37.751,FALSE,11,FALSE
178804,M,59,Chrome,MacOS X,United States,-74.1741 40.7355,FALSE,16,FALSE
186097,F,51,Chrome,MacOS X,China,116.3883 39.9289,FALSE,10,FALSE
191981,F,64,Chrome,MacOS X,United States,-122.0318 38.0033,FALSE,16,FALSE
1ckcs3,F,43,Chrome,Windows,Spain,-3.684 40.4172,FALSE,10.5,FALSE
200078,M,,Chrome,Windows,United States,-117.1649 32.8072,TRUE,8.4,FALSE
208937,M,60,Chrome,MacOS X,United States,-118.278 34.0584,TRUE,10,FALSE
217154,M,,Chrome,Windows,United Kingdom,-0.1224 51.4964,FALSE,12,FALSE
